microbe_level,diet_type,id,compound,nat_lab,ion,ret_time,type_delete.this,width,area,start_time,end_time,,ratio,standard_mass,total_natural_compound_ng,sample_wt_g,sample_stdev_g,conc_sample_ngperg,lower_stdev_sample_mass,upper_stdev_sample_mass,low_conc_stdev,high_conc_stdev,num_sal_glands,avg_ratio_blanks,stdev_ratio_blanks,ratio_minus_blanks,adjusted_total_natural_compound,adjusted_conc_sample_ngperg,lower_blank_stdev,upper_blank_stdev,adjusted_low_stdev,adjusted_high_stdev,,,,,,
axenic,benzoic,AB1,BA,nat ,137,6.886,M,0.037,6978727,6.845,7.009,,1.539643907,200,307.9287813,0.127,0.0309,2424.636074,0.0961,0.1579,3204.253708,1950.15061,42,0.119085094,0.099778182,1.420558813,284.1117626,2237.100493,0.019306912,0.218863276,3164.072829,1672.933035,,,,,,
axenic,benzoic,AB1,BA,lab,143,6.886,M,0.036,4532689,6.844,6.979,,,200,,0.127,0.0309,0,0.0961,0.1579,0,0,42,0.119085094,0.099778182,-0.119085094,-23.81701878,-187.5355809,0.019306912,0.218863276,-40.18087874,-277.2175751,,,,,,
axenic,benzoic,AB2,BA,nat,137,6.887,M,0.034,4913706,6.844,6.98,,0.989372369,200,197.8744739,0.1078,0.0309,1835.570259,0.0769,0.1387,2573.140102,1426.636437,40,0.119085094,0.099778182,0.870287275,174.0574551,1614.633164,0.019306912,0.218863276,2522.927067,1111.044115,,,,,,
axenic,benzoic,AB2,BA,lab,143,6.887,M,0.034,4966488,6.843,6.979,,,200,,0.1078,0.0309,0,0.0769,0.1387,0,0,40,0.119085094,0.099778182,-0.119085094,-23.81701878,-220.9370944,0.019306912,0.218863276,-50.21303572,-315.5923223,,,,,,
axenic,control,AC1,BA,nat,137,6.887,M,0.026,729004,6.856,6.938,,0.116996065,200,23.39921294,0.1165,0.0309,200.8516132,0.0856,0.1474,273.3552913,158.7463564,38,0.119085094,0.099778182,-0.002089029,-0.417805841,-3.586316228,0.019306912,0.218863276,228.2456833,-138.2187393,,,,,,
axenic,control,AC1,BA,lab,143,6.887,M,0.028,6231013,6.854,6.985,,,200,,0.1165,0.0309,0,0.0856,0.1474,0,0,38,0.119085094,0.099778182,-0.119085094,-23.81701878,-204.4379294,0.019306912,0.218863276,-45.10960802,-296.9650957,,,,,,
axenic,control,AC2,BA,nat,137,6.888,M,0.034,1062512,6.855,6.941,,0.141293613,200,28.2587225,0.1053,0.0309,268.3639364,0.0744,0.1362,379.821539,207.4796072,43,0.119085094,0.099778182,0.022208519,4.441703727,42.18142191,0.019306912,0.218863276,327.9212373,-113.9055257,,,,,,
axenic,control,AC2,BA,lab,143,6.888,M,0.037,7519887,6.855,6.986,,,200,,0.1053,0.0309,0,0.0744,0.1362,0,0,43,0.119085094,0.099778182,-0.119085094,-23.81701878,-226.1825145,0.019306912,0.218863276,-51.9003017,-321.385133,,,,,,
nonaxenic,benzoic,NB1,BA,nat,137,6.894,M,0.029,54365977,6.854,7.083,,1.312229637,200,262.4459275,0.1231,0.0309,2131.973416,0.0922,0.1540,2846.485114,1704.194334,38,0.119085094,0.099778182,1.193144543,238.6289087,1938.496415,0.019306912,0.218863276,2804.60461,1419.956314,,,,,,
nonaxenic,benzoic,NB1,BA,lab,143,6.894,M,0.028,41430231,6.858,6.992,,,200,,0.1231,0.0309,0,0.0922,0.1540,0,0,38,0.119085094,0.099778182,-0.119085094,-23.81701878,-193.4770006,0.019306912,0.218863276,-41.88050376,-284.2380202,,,,,,
