id,microbe_level,diet_type,tissue,nat_lab,sample_wt_g,conc_sample_ngperg,num_larvae,avg_ba_conc,high_ba_conc,low_ba_conc,avg_sa_conc,high_sa_conc,low_sa_conc,avg_iaa_conc,high_iaa_conc,low_iaa_conc
AB1,axenic,benzoic,sal,nat,0.0667,2578.884025,20,1961.884966,2051.154415,1872.615518,37.88237696,63.6166995,12.14805442,122.5277564,221.4635373,23.59197554
AB1,axenic,benzoic,sal,lab,0.0667,2611.646141,20,1994.647081,2083.91653,1905.377633,20937.02971,20962.76403,20911.29538,29566.45974,29665.39552,29467.52396
AB1F,axenic,benzoic,fat,nat,0.0505,1989.613884,20,1174.686414,1292.592794,1056.780033,160.8536623,194.8433516,126.8639729,98.29654597,228.9701417,-32.37704979
AB1F,axenic,benzoic,fat,lab,0.0505,9740.234376,20,8925.306905,9043.213286,8807.400525,456667.5198,456701.5095,456633.5301,1262317.385,1262448.059,1262186.712
AB1H,axenic,benzoic,hem,nat,0.1047,1719.65,20,1326.585652,1383.455492,1269.715813,-8.150520334,8.243742449,-24.54478312,-41.73968473,21.28817187,-104.7675413
AB1H,axenic,benzoic,hem,lab,0.1047,5437.225922,20,5044.161574,5101.031414,4987.291734,38867.38296,38883.77723,38850.9887,236343.4247,236406.4525,236280.3968
AC1,axenic,control,sal,nat,0.0773,582.5003193,20,50.1091518,127.1372529,-26.91894928,21.42217982,43.62760432,-0.7832446726,-63.5800328,21.78887517,-148.9489408
AC1,axenic,control,sal,lab,0.0773,49724.79799,20,49192.40682,49269.43493,49115.37872,235033.4166,235055.622,235011.2111,215193.7686,215279.1375,215108.3996
AC1F,axenic,control,fat,nat,0.0470,1255.714797,20,380.1012389,506.7878818,253.4145961,12.39781013,48.91864658,-24.12302633,-80.22902449,60.17558372,-220.6336327
AC1F,axenic,control,fat,lab,0.0470,5843.919299,20,4968.305741,5094.992384,4841.619098,131236.5329,131273.0537,131200.012,978699.6874,978840.092,978559.2828
AC1H,axenic,control,hem,nat,0.0698,700.0094508,20,110.4129286,195.7176881,25.10816912,-9.220503867,15.37089031,-33.81189804,-71.49291019,23.0488747,-166.0346951
AC1H,axenic,control,hem,lab,0.0698,12881.82774,20,12292.23122,12377.53598,12206.92646,117823.3611,117847.9525,117798.7697,1114.047148,1208.588933,1019.505363
AI1,axenic,indole,sal,nat,0.0624,562.8990706,20,-96.61755188,-1.196522824,-192.0385809,5.989849263,33.49753057,-21.51783204,7296.168453,7401.921924,7190.414982
AI1,axenic,indole,sal,lab,0.0624,10115.23862,20,9455.721996,9551.143025,9360.300967,100465.4174,100492.9251,100437.9097,888.4865687,994.2400396,782.7330978
AI1F,axenic,indole,fat,nat,0.0467,1076.576472,20,195.3379872,322.8384628,67.83751153,7.272666289,44.02811197,-29.48277939,15526.80133,15668.1079,15385.49477
AI1F,axenic,indole,fat,lab,0.0467,23520.575,20,22639.33652,22766.837,22511.83604,202769.8378,202806.5933,202733.0824,1202.940754,1344.247319,1061.634189
AI1H,axenic,indole,hem,nat,0.1077,462.2843732,20,80.16889274,135.4546143,24.88317117,0.09094277776,16.02854086,-15.8466553,5706.65183,5767.924036,5645.379624
AI1H,axenic,indole,hem,lab,0.1077,7814.419242,20,7432.303761,7487.589483,7377.01804,317.2429305,333.1805286,301.3053324,59382.42007,59443.69227,59321.14786
AS1,axenic,salicylic,sal,nat,0.0699,492.7395196,20,-96.01351684,-10.83079562,-181.1962381,15635.00115,15659.55737,15610.44494,31.42503818,125.8315702,-62.98149381
AS1,axenic,salicylic,sal,lab,0.0699,14112.61524,20,13523.86221,13609.04493,13438.67949,218.298784,242.8549974,193.7425707,41041.14856,41135.5551,40946.74203
AS1F,axenic,salicylic,fat,nat,0.0736,738.9693627,20,179.8139653,260.714403,98.91352763,22564.72689,22588.04862,22541.40516,48.28096598,137.9415174,-41.37958545
AS1F,axenic,salicylic,fat,lab,0.0736,9522.340179,20,8963.184782,9044.08522,8882.284344,693.7541139,717.0758437,670.4323841,99839.90131,99929.56186,99750.24076
AS1H,axenic,salicylic,hem,nat,0.1090,464.2682573,20,86.71011742,141.336468,32.08376684,7298.682355,7314.429872,7282.934839,4.956227573,65.49766414,-55.58520899
AS1H,axenic,salicylic,hem,lab,0.1090,24298.50833,20,23920.95019,23975.57654,23866.32384,80973.87009,80989.6176,80958.12257,616162.5751,616223.1165,616102.0337
B1,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
