microbe_level,diet_type,wt
axenic,control,3.60727999
axenic,control,2.86284031
axenic,control,2.954434804
axenic,control,3.539630256
axenic,control,2.845418324
axenic,control,3.405118925
axenic,control,3.503678079
axenic,control,3.118073567
axenic,control,3.131822694
axenic,control,3.100565382
axenic,control,3.249295041
axenic,control,3.556300397
axenic,control,3.382399182
axenic,control,3.194344172
axenic,control,4.169002279
axenic,control,4.098153676
axenic,control,3.212459648
axenic,control,4.046084649
axenic,control,3.013729278
axenic,control,3.937702554
axenic,control,3.560767826
axenic,control,3.237077152
axenic,control,3.708404248
axenic,control,3.023009492
axenic,control,4.003173554
axenic,control,3.907993807
axenic,control,3.239356087
axenic,control,3.370102247
axenic,control,2.681322902
axenic,control,3.033250887
axenic,control,3.96892111
axenic,control,3.837478154
axenic,control,3.532425902
axenic,control,3.338942323
axenic,control,3.555012139
axenic,control,3.777512174
axenic,control,2.913506288
axenic,control,3.462234899
axenic,control,3.499156764
axenic,control,3.158257351
axenic,control,4.420276778
axenic,control,3.937613025
axenic,control,3.683493722
axenic,control,3.463143869
axenic,control,3.842219969
axenic,control,2.769321045
axenic,control,3.513478008
axenic,control,3.319691514
axenic,control,3.34696443
axenic,control,3.913785134
axenic,control,3.823009064
axenic,control,3.466111908
axenic,control,3.752641676
axenic,control,3.968147527
axenic,control,2.896399137
axenic,control,2.725901523
axenic,control,3.755219304
axenic,control,3.200467781
axenic,control,2.635752412
axenic,control,3.498665978
axenic,benzoic,3.749915738
axenic,benzoic,3.793858619
axenic,benzoic,3.129863863
axenic,benzoic,3.132710793
axenic,benzoic,4.002287683
axenic,benzoic,3.800026687
axenic,benzoic,3.326496423
axenic,benzoic,3.82189726
axenic,benzoic,3.61594706
axenic,benzoic,3.405655633
axenic,benzoic,4.283632121
axenic,benzoic,4.106896664
axenic,benzoic,3.297571709
axenic,benzoic,2.821907942
axenic,benzoic,3.207620109
axenic,benzoic,3.510388391
axenic,benzoic,3.720322019
axenic,benzoic,3.54581418
axenic,benzoic,3.231876749
axenic,benzoic,3.366903523
axenic,benzoic,4.032604174
axenic,benzoic,3.205354228
axenic,benzoic,3.207478598
axenic,benzoic,3.594865618
axenic,benzoic,3.489334906
axenic,benzoic,3.44565514
axenic,benzoic,3.600197329
axenic,benzoic,3.843639745
axenic,benzoic,2.820487205
axenic,benzoic,3.375082793
axenic,benzoic,3.339590002
axenic,benzoic,3.255311666
axenic,benzoic,3.233708171
axenic,benzoic,3.961735146
axenic,benzoic,3.442175294
axenic,benzoic,3.466458098
axenic,benzoic,3.414568573
axenic,benzoic,3.379372499
axenic,benzoic,3.57306912
axenic,benzoic,3.272574702
axenic,benzoic,3.429425337
axenic,benzoic,3.497236764
axenic,benzoic,3.367630429
axenic,benzoic,3.143146983
axenic,benzoic,3.293130711
axenic,benzoic,3.56039886
axenic,benzoic,3.226896237
axenic,benzoic,3.476186352
axenic,benzoic,3.17199458
axenic,benzoic,3.205182513
axenic,benzoic,3.281955449
axenic,benzoic,2.718797402
axenic,benzoic,3.382037476
axenic,benzoic,3.591814601
axenic,benzoic,3.234031744
axenic,benzoic,3.137326523
axenic,benzoic,3.061085562
axenic,benzoic,3.136806843
axenic,benzoic,3.258558609
axenic,benzoic,3.3329123
axenic,salicylic,3.833509905
axenic,salicylic,3.939180952
axenic,salicylic,3.696079291
axenic,salicylic,3.527094955
axenic,salicylic,3.1973702
axenic,salicylic,2.875483639
axenic,salicylic,3.149605478
axenic,salicylic,3.155798667
axenic,salicylic,3.68848819
axenic,salicylic,3.411336631
axenic,salicylic,3.795984938
axenic,salicylic,3.530065377
axenic,salicylic,3.300042758
axenic,salicylic,3.617243547
axenic,salicylic,3.697841943
axenic,salicylic,3.159178606
axenic,salicylic,3.565904395
axenic,salicylic,2.790724576
axenic,salicylic,3.139877947
axenic,salicylic,3.726904672
axenic,salicylic,3.504842086
axenic,salicylic,3.929956176
axenic,salicylic,3.784447408
axenic,salicylic,3.722949292
axenic,salicylic,5.25862466
axenic,salicylic,3.135267532
axenic,salicylic,3.628402086
axenic,salicylic,3.681810527
axenic,salicylic,4.123358263
axenic,salicylic,3.45666578
axenic,salicylic,3.646764289
axenic,salicylic,3.975800893
axenic,salicylic,3.604380059
axenic,salicylic,5.440303545
axenic,salicylic,3.781303737
axenic,salicylic,3.63321365
axenic,salicylic,3.38753476
axenic,salicylic,3.09951446
axenic,salicylic,3.305767035
axenic,salicylic,3.352488574
axenic,salicylic,3.491459548
axenic,salicylic,3.27568373
axenic,salicylic,3.457276397
axenic,salicylic,6.350162769
axenic,salicylic,3.299814462
axenic,salicylic,4.013551747
axenic,salicylic,3.511232169
axenic,salicylic,3.331891818
axenic,salicylic,3.223259476
axenic,salicylic,3.490101006
axenic,salicylic,3.244445599
axenic,salicylic,3.857040275
axenic,salicylic,3.170876032
axenic,salicylic,3.724365197
axenic,salicylic,3.958152532
axenic,salicylic,3.824639131
